function_name,calls,min_microseconds,max_microseconds,average_microseconds,total_microseconds
"void __cdecl PaintSmallSceneryBody(struct PaintSession &,unsigned char,int,const struct OpenRCT2::SmallSceneryElement &,const struct OpenRCT2::SmallSceneryEntry *,struct ImageId)",0,0,0,0,0
"void __cdecl PaintSmallScenery(struct PaintSession &,unsigned char,int,const struct OpenRCT2::SmallSceneryElement &)",0,0,0,0,0
"void __cdecl PaintWallDoor(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,struct ImageId,struct CoordsXYZ,struct BoundBoxXYZ,struct BoundBoxXYZ,struct BoundBoxXYZ)",0,0,0,0,0
"void __cdecl PaintWallDoor(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,struct ImageId,unsigned char,int)",0,0,0,0,0
"void __cdecl PaintWallWall(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,struct ImageId,unsigned int,struct CoordsXYZ,struct BoundBoxXYZ,bool)",15100,0.1,3.2,0.0938675496689,1417.4
"void __cdecl PaintWallScrollingText(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,unsigned char,int,const struct CoordsXYZ &,bool)",15100,0.1,0.6,0.0417748344371,630.8
"void __cdecl PaintWallWall(struct PaintSession &,const struct OpenRCT2::WallSceneryEntry &,const struct OpenRCT2::WallElement &,struct ImageId,unsigned char,int,bool)",15100,0.1,3.6,0.310039735099,4681.6
"void __cdecl PaintWall(struct PaintSession &,unsigned char,int,const struct OpenRCT2::WallElement &)",15100,0.1,4.5,0.524231788079,7915.9
"void __cdecl PaintBalloon(struct PaintSession &,const struct OpenRCT2::Balloon &,int)",4020,0.1,3.3,0.118258706468,475.4
"void __cdecl PaintCrashSplashParticle(struct PaintSession &,const struct OpenRCT2::CrashSplashParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintDuck(struct PaintSession &,const struct OpenRCT2::Duck &,int)",0,0,0,0,0
"void __cdecl PaintExplosionCloud(struct PaintSession &,const struct OpenRCT2::ExplosionCloud &)",0,0,0,0,0
"void __cdecl PaintExplosionFlare(struct PaintSession &,const struct OpenRCT2::ExplosionFlare &)",0,0,0,0,0
"void __cdecl PaintGuest(struct PaintSession &,const struct OpenRCT2::Guest &,int)",254335,0.1,1212.8,0.142290679615,36189.5
"void __cdecl PaintJumpingFountain(struct PaintSession &,const struct OpenRCT2::JumpingFountain &,int)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintLitter(struct PaintSession &,const struct OpenRCT2::Litter &,int)",438,0.1,0.3,0.0554794520548,24.3
"void __cdecl PaintMoneyEffect(struct PaintSession &,const struct OpenRCT2::MoneyEffect &)",10952,0,0.9,0.0426771365961,467.4
"void __cdecl PaintStaff(struct PaintSession &,const struct OpenRCT2::Staff &,int)",58196,0.1,64.2,0.148011890852,8613.7
"void __cdecl PaintSteamParticle(struct PaintSession &,const struct OpenRCT2::SteamParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::PaintVehicleCrashParticle(struct PaintSession &,const struct OpenRCT2::VehicleCrashParticle &)",0,0,0,0,0
"void __cdecl OpenRCT2::Audio::UpdateVehicleSounds(void)",1200,164.2,550.5,205.293916667,246352.7
"void __cdecl OpenRCT2::Ui::ProvisionalElementsRemove(void)",1200,0.1,0.6,0.106083333333,127.3
"void __cdecl OpenRCT2::Ui::ProvisionalElementsRestore(void)",1200,0.1,1.1,0.124833333333,149.8
